EXPID,OBSTYPE,TILEID,LASTSTEP,CAMWORD,BADCAMWORD,BADAMPS,EXPTIME,EFFTIME_ETC,SURVEY,FA_SURV,FAPRGRM,GOALTIME,GOALTYPE,EBVFAC,AIRMASS,SPEED,TARGTRA,TARGTDEC,SEQNUM,SEQTOT,PROGRAM,PURPOSE,MJD-OBS,NIGHT,HEADERERR,EXPFLAG,COMMENTS
200096,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,1,25,calib zeros for nightly bias,main survey,60226.848803182,20231009,|,|,|
200097,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,2,25,calib zeros for nightly bias,main survey,60226.849591769,20231009,|,|,|
200098,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,3,25,calib zeros for nightly bias,main survey,60226.85036575,20231009,|,|,|
200099,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,4,25,calib zeros for nightly bias,main survey,60226.851152788,20231009,|,|,|
200100,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,5,25,calib zeros for nightly bias,main survey,60226.851964209,20231009,|,|,|
200101,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,6,25,calib zeros for nightly bias,main survey,60226.852778787,20231009,|,|,|
200102,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,7,25,calib zeros for nightly bias,main survey,60226.85355527,20231009,|,|,|
200103,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,8,25,calib zeros for nightly bias,main survey,60226.854342268,20231009,|,|,|
200104,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,9,25,calib zeros for nightly bias,main survey,60226.855125989,20231009,|,|,|
200105,zero,-99,all,a0123456789,,,0.0,-99.0,unknown,unknown,unknown,-99.0,unknown,1.0,1.000001,-99.0,95.24267,31.9633,10,25,calib zeros for nightly bias,main survey,60226.855913037,20231009,|,|,|
